radius,accuracy,recall,precision
2,0.8548149126946671,0.8564754386787985,0.8567191225886241
3,0.8410928551203396,0.8427832250592737,0.8428648491629939
4,0.8349319490325626,0.8370862503049296,0.836301233586684
5,0.8352515526191598,0.8373969764184495,0.8366136037146092
6,0.8366365832940066,0.838904878063376,0.8381597277476882
7,0.834331967909391,0.8366315760057355,0.8363087364287896
8,0.8362623124115147,0.8386492876826331,0.838072679945889
